1,41.95,45
3,5.76,6
12,21.32,25
16,86.05,90
27,48.2,50
66,31.55,35
101,11.18,15
168,65.05,70
175,9.54,10
241,5.04,6
267,7.2,8
268,10.58,11
288,4.39,5
291,45.1,50
338,1.11,2
386,4.32,5
388,298.6,300
669,76.6,80
670,2.75,3
688,16.45,20
700,319.8,350
788,0.8,1
836,15.04,20
857,5.94,6
868,10.5,11
881,22.45,25
914,21.05,25
916,6.83,7
939,4.7,5
960,14.25,15
968,6.12,7
992,8.86,9
1024,66.25,70
1038,37.8,40
1044,25.65,30
1055,3.97,4
1061,3.02,4
1066,6.9,7
1088,25.3,30
1093,5.95,6
1099,22.68,25
1109,32.15,35
1113,42,45
1171,15.2,20
1177,2.92,3
1288,3.05,4
1299,70.45,80
1336,20.24,25
1347,20.55,25
1368,7.46,8
1378,7.59,8
1385,17.1,20
1398,3.97,4
1658,4.02,5
1801,44.55,45
1810,12.68,15
1876,16.16,20
1880,103,150
1898,6.2,7
1919,8.14,9
1928,24.04,25
1929,11.8,15
1997,31.4,35
2007,0.93,1
2015,141.4,150
2020,91.5,100
2196,18.85,20
2202,8.72,9
2238,3.89,4
2269,49.9,50
2313,77.65,80
2318,45.2,50
2319,27.15,30
2328,10.24,11
2331,35.5,40
2333,9.88,10
2359,101.25,150
2382,61.95,70
2388,22.5,25
2518,59.8,60
2600,4.35,5
2601,20.6,25
2618,10.2,11
2628,12.9,15
2688,65.9,70
2800,18.94,20
2822,12.56,15
2823,13.43,15
2828,63.7,70
2883,9.49,10
2899,12.28,15
3010,50.4,60
3033,4.02,5
3067,8.47,9
3188,41.98,45
3690,119.6,150
3692,11.14,15
3800,1.49,2
3888,29.55,30
3898,27.8,30
3908,14.56,15
3968,33.9,35
3988,2.88,3
6030,15.92,20
6098,8.08,9
6185,26.35,30
6618,40.8,45
6690,24.7,25
6862,22,25
6865,18.04,20
6881,4.25,5
6969,7.14,8
9618,120,150
9626,119,150
9633,45.9,50
9696,46.75,50
9866,74.9,80
9868,72.8,80
9888,134.9,150
9988,86.3,90
9992,24.95,25
9995,43.95,45
9999,172,200
82800,17.7,20
82822,11.82,15
82823,12.26,15
82828,59.42,60
83010,46.48,50
83188,38.58,40
1COV@DE,44.32,45
A,113.81,150
AA,29.5,30
AAL,13.98,15
AAN,10.54,11
AAON,59.45,60
AAP,56.17,60
AAPL,182.33,200
AAXJ,64.86,70
ABBV,150.37,200
ABCB,39.71,40
ABCL,4.65,5
ABG,231.52,250
ABM,43.93,45
ABNB,140.73,150
ABR,15.2,20
ABT,98.48,100
ACAD,23.71,25
ACGL,84.45,90
ACI,23.11,25
ACIW,22.6,25
ACLS,170.99,200
ACM,84.12,90
ACMR,20.86,25
ACN,315.38,350
ACWI,94.12,100
ACWX,47.66,50
ADAP,0.8,1
ADBE,574.28,600
ADI,177.53,200
ADM,75.67,80
ADP,251.21,300
ADPT,5.65,6
ADS@DE,199,200
ADSK,215,250
